date,home_team,away_team,home_goals,away_goals,tournament,neutral
2025-01-10,Mexico,South Korea,1,1,Illustrative Sample Data,true
2025-01-11,South Africa,Czechia,1,2,Illustrative Sample Data,true
2025-01-12,Mexico,South Africa,2,1,Illustrative Sample Data,true
2025-01-13,South Korea,Czechia,1,1,Illustrative Sample Data,true
2025-01-14,Mexico,Czechia,1,1,Illustrative Sample Data,true
2025-01-15,South Korea,South Africa,2,1,Illustrative Sample Data,true
2025-01-16,Canada,Switzerland,1,2,Illustrative Sample Data,true
2025-01-17,Qatar,Bosnia and Herzegovina,1,2,Illustrative Sample Data,true
2025-01-18,Canada,Qatar,2,1,Illustrative Sample Data,true
2025-01-19,Switzerland,Bosnia and Herzegovina,2,1,Illustrative Sample Data,true
2025-01-20,Canada,Bosnia and Herzegovina,1,1,Illustrative Sample Data,true
2025-01-21,Switzerland,Qatar,2,0,Illustrative Sample Data,true
2025-01-22,Brazil,Morocco,2,1,Illustrative Sample Data,true
2025-01-23,Scotland,Haiti,2,0,Illustrative Sample Data,true
2025-01-24,Brazil,Scotland,2,0,Illustrative Sample Data,true
2025-01-25,Morocco,Haiti,2,0,Illustrative Sample Data,true
2025-01-26,Brazil,Haiti,2,0,Illustrative Sample Data,true
2025-01-27,Morocco,Scotland,1,1,Illustrative Sample Data,true
2025-01-28,United States,Paraguay,2,1,Illustrative Sample Data,true
2025-01-29,Australia,Turkey,1,1,Illustrative Sample Data,true
2025-01-30,United States,Australia,2,1,Illustrative Sample Data,true
2025-01-31,Paraguay,Turkey,1,1,Illustrative Sample Data,true
2025-02-01,United States,Turkey,1,1,Illustrative Sample Data,true
2025-02-02,Paraguay,Australia,1,1,Illustrative Sample Data,true
2025-02-03,Germany,Ecuador,2,1,Illustrative Sample Data,true
2025-02-04,Ivory Coast,Curacao,2,0,Illustrative Sample Data,true
2025-02-05,Germany,Ivory Coast,2,1,Illustrative Sample Data,true
2025-02-06,Ecuador,Curacao,2,1,Illustrative Sample Data,true
2025-02-07,Germany,Curacao,2,0,Illustrative Sample Data,true
2025-02-08,Ecuador,Ivory Coast,1,1,Illustrative Sample Data,true
2025-02-09,Netherlands,Japan,2,1,Illustrative Sample Data,true
2025-02-10,Tunisia,Sweden,1,2,Illustrative Sample Data,true
2025-02-11,Netherlands,Tunisia,2,0,Illustrative Sample Data,true
2025-02-12,Japan,Sweden,1,1,Illustrative Sample Data,true
2025-02-13,Netherlands,Sweden,2,1,Illustrative Sample Data,true
2025-02-14,Japan,Tunisia,2,1,Illustrative Sample Data,true
2025-02-15,Belgium,Iran,2,0,Illustrative Sample Data,true
2025-02-16,Egypt,New Zealand,2,1,Illustrative Sample Data,true
2025-02-17,Belgium,Egypt,2,1,Illustrative Sample Data,true
2025-02-18,Iran,New Zealand,1,1,Illustrative Sample Data,true
2025-02-19,Belgium,New Zealand,2,0,Illustrative Sample Data,true
2025-02-20,Iran,Egypt,1,1,Illustrative Sample Data,true
2025-02-21,Spain,Uruguay,2,1,Illustrative Sample Data,true
2025-02-22,Saudi Arabia,Cape Verde,1,1,Illustrative Sample Data,true
2025-02-23,Spain,Saudi Arabia,2,0,Illustrative Sample Data,true
2025-02-24,Uruguay,Cape Verde,2,1,Illustrative Sample Data,true
2025-02-25,Spain,Cape Verde,2,0,Illustrative Sample Data,true
2025-02-26,Uruguay,Saudi Arabia,2,1,Illustrative Sample Data,true
2025-02-27,France,Senegal,2,1,Illustrative Sample Data,true
2025-02-28,Norway,Iraq,2,1,Illustrative Sample Data,true
2025-03-01,France,Norway,2,0,Illustrative Sample Data,true
2025-03-02,Senegal,Iraq,2,1,Illustrative Sample Data,true
2025-03-03,France,Iraq,2,0,Illustrative Sample Data,true
2025-03-04,Senegal,Norway,1,1,Illustrative Sample Data,true
2025-03-05,Argentina,Austria,2,1,Illustrative Sample Data,true
2025-03-06,Algeria,Jordan,2,1,Illustrative Sample Data,true
2025-03-07,Argentina,Algeria,2,0,Illustrative Sample Data,true
2025-03-08,Austria,Jordan,2,1,Illustrative Sample Data,true
2025-03-09,Argentina,Jordan,2,0,Illustrative Sample Data,true
2025-03-10,Austria,Algeria,1,1,Illustrative Sample Data,true
2025-03-11,Portugal,Colombia,2,1,Illustrative Sample Data,true
2025-03-12,Uzbekistan,DR Congo,1,1,Illustrative Sample Data,true
2025-03-13,Portugal,Uzbekistan,2,0,Illustrative Sample Data,true
2025-03-14,Colombia,DR Congo,2,1,Illustrative Sample Data,true
2025-03-15,Portugal,DR Congo,2,0,Illustrative Sample Data,true
2025-03-16,Colombia,Uzbekistan,2,1,Illustrative Sample Data,true
2025-03-17,England,Croatia,2,1,Illustrative Sample Data,true
2025-03-18,Panama,Ghana,1,1,Illustrative Sample Data,true
2025-03-19,England,Panama,2,0,Illustrative Sample Data,true
2025-03-20,Croatia,Ghana,2,1,Illustrative Sample Data,true
2025-03-21,England,Ghana,2,0,Illustrative Sample Data,true
2025-03-22,Croatia,Panama,2,0,Illustrative Sample Data,true
